Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,price_range
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,09:25,04:25 10 Jun,19h,2 stops,No info,13882,12500-15000
IndiGo,01/03/2019,Banglore,New Delhi,BLR ? NAG ? DEL,16:50,21:35,4h 45m,1 stop,No info,13302,12500-15000
Air India,3/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011,12500-15000
Air India,12/06/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381,12500-15000
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,12500-15000
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292,12500-15000
Air India,1/05/2019,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,13h 25m,2 stops,No info,13227,12500-15000
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,No info,14924,12500-15000
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13062,12500-15000
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231,12500-15000
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:00,10h 15m,1 stop,No info,12524,12500-15000
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819,12500-15000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941,12500-15000
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712,12500-15000
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014,12500-15000
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817,12500-15000
