Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,price_range
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087,10000-12500
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,11087,10000-12500
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,10000-12500
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,10000-12500
Vistara,6/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395,10000-12500
Air India,21/05/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,10861,10000-12500
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,10197,10000-12500
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703,10000-12500
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,10000-12500
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,18:50,7h 10m,1 stop,No info,11421,10000-12500
Air India,9/05/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596,10000-12500
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,15h 25m,1 stop,No info,10348,10000-12500
