Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,12/05/2019,Kolkata,Banglore,CCU ? NAG ? BLR,18:05,23:30,5h 25m,1 stop,No info,6218
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894
Air India,18/05/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6245
Air India,15/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117
IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,5894
Vistara,24/04/2019,Banglore,Delhi,BLR ? DEL,09:45,12:35,2h 50m,non-stop,No info,5403
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,No info,5678
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,21:00,9h 35m,1 stop,No info,5894
IndiGo,24/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636
Jet Airways,3/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478
Air India,12/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,14:35 13 May,24h,1 stop,No info,6528
Air India,1/05/2019,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,6121
GoAir,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,5h 55m,1 stop,No info,5281
Vistara,12/05/2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6216
GoAir,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686
IndiGo,15/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636
IndiGo,9/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,16:10,8h 35m,1 stop,No info,6442
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BLR ? COK,15:10,20:00,4h 50m,1 stop,No info,6147
Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7005
IndiGo,9/05/2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info,6442
SpiceJet,12/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264
IndiGo,27/06/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 28 Jun,5h 45m,1 stop,No info,5775
IndiGo,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,16:10,22:30,6h 20m,1 stop,No info,6412
Air India,3/06/2019,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,6961
IndiGo,24/04/2019,Delhi,Cochin,DEL ? COK,05:35,08:50,3h 15m,non-stop,No info,5013
Air India,18/05/2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,6934
Jet Airways,18/04/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,7229
SpiceJet,6/06/2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,11:20,5h 15m,1 stop,No info,5583
IndiGo,1/06/2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,4h 55m,1 stop,No info,6842
Jet Airways,12/05/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,7229
IndiGo,1/05/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 02 May,5h 45m,1 stop,No info,6349
IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,6979
SpiceJet,6/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264
Air India,9/05/2019,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,5228
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,07:10,10:10,3h,non-stop,In-flight meal not included,5769
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,01:30 25 Jun,14h 5m,1 stop,No info,5684
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:10,16:10,9h,1 stop,No info,6513
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:30 28 May,8h,1 stop,In-flight meal not included,7308
Jet Airways,6/05/2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,No info,7229
Air Asia,12/05/2019,Kolkata,Banglore,CCU ? BLR,10:20,12:55,2h 35m,non-stop,No info,5216
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 28 Jun,6h 30m,1 stop,No info,7198
Air Asia,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:35,23:30,15h 55m,1 stop,No info,5192
Air India,18/06/2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,5201
Jet Airways,15/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal not included,7229
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:45,01:30 28 May,7h 45m,1 stop,No info,6795
Jet Airways,24/04/2019,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,No info,7229
IndiGo,15/05/2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,4h 55m,1 stop,No info,6496
Air Asia,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:35,19:25,11h 50m,1 stop,No info,5192
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,04:40 13 Jun,20h 15m,1 stop,In-flight meal not included,6224
Air Asia,9/05/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,13:25,5h 30m,1 stop,No info,6751
IndiGo,15/05/2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info,6442
