Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,19:50 13 Jun,24h 55m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,08:15 13 Jun,18h 10m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,10:05 13 Jun,20h,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 13 Jun,16h,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,18:15 13 Jun,23h 20m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,16:20 13 Jun,23h 50m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,12:00 13 Jun,17h 5m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,16:20 13 Jun,21h 25m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,08:15 13 Jun,13h 20m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 13 Jun,12h 10m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,09:20 13 Jun,13h 20m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,12:00 13 Jun,19h 30m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,10:05 13 Jun,17h 35m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,09:20 13 Jun,19h 15m,1 stop,No info,13044
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,10:05 13 Jun,12h 55m,1 stop,No info,13044
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,04:40 07 Jun,14h 35m,1 stop,No info,13059
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,21:00,7h,1 stop,No info,13062
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,21:00,8h,1 stop,No info,13062
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,21:00,13h 55m,1 stop,No info,13062
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,No info,13062
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,13062
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,22:05,12h 30m,1 stop,No info,13067
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,19:10 22 May,22h 45m,1 stop,No info,13067
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,22:05 13 May,29h 5m,1 stop,No info,13067
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,23:35,14h,1 stop,No info,13067
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,19:10,9h 35m,1 stop,No info,13067
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,21:05 07 May,24h 40m,1 stop,No info,13067
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,10:55 25 May,14h 30m,1 stop,No info,13067
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,21:05,11h 30m,1 stop,No info,13067
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,09:45 25 May,13h 20m,1 stop,No info,13067
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,23:35,6h 35m,1 stop,No info,13067
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,19:10 07 May,26h 10m,1 stop,No info,13067
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 13 May,28h 50m,1 stop,No info,13067
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,09:45 16 May,16h 45m,1 stop,No info,13067
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,09:45 25 May,24h 10m,1 stop,No info,13067
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,14:25 13 May,21h 25m,1 stop,No info,13067
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,21:05 07 May,28h 5m,1 stop,No info,13067
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,19:10,9h 35m,1 stop,No info,13067
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,21:05 10 May,28h 5m,1 stop,No info,13067
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,09:45 22 May,16h 45m,1 stop,No info,13067
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,10:55 07 May,14h 30m,1 stop,No info,13067
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,21:05 10 May,24h 40m,1 stop,No info,13067
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,14:25 19 May,21h 25m,1 stop,No info,13067
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,18:00,8h 25m,1 stop,No info,13067
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 19 May,28h 50m,1 stop,No info,13067
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,19:10 25 May,26h 10m,1 stop,No info,13067
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,22:05 22 May,25h 40m,1 stop,No info,13067
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,19:10 13 May,22h 45m,1 stop,No info,13067
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,22:05 25 May,29h 5m,1 stop,No info,13067
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,19:10 07 May,22h 45m,1 stop,No info,13067
